ENGLISH ,TARAON/TAWRA
Are you rich?,nyu dyaa ye?
Are you sick?,nyu raa ye?
Are you sure?,nyu che ladi ye?
Are you tall?,nyu mei kalung ye?
Be attentive.,pra tharung na
Be objective.,pra maro na
Be realistic!,che takau marona
"Beef, please.",machow tabre ing
Boil one egg.,brage tyu maye suna
Bring him in.,muwa aa angke katyowna
Call me back.,haa amelya nana
Can I go now?,haa tya bohane ye?
Can I try it?,haa ji hawre hane ye?
Can Tom walk?,tom chae hane ye?
Can you come?,nyu hana hane ye?
Can you help?,nyu babrung hane ye?
Can you read?,nyu purihane ye?
Can you swim?,nyu machae yohane ye?
Can you walk?,nyu chae hane ye?
Come and see.,hanaya whina
Come at once.,tagru hanana
Come back in.,hanana lumku
Come forward.,hanya hanana
Come help me.,"hanana, haa babrung na"
"Come in, Tom.","tom, lumku hanana"
Come on down.,hanana bari dena
Come on home.,ang hana nana
Come outside.,habung hanana
Come quickly.,tagroo hanana
Come up here.,taji nyu hanana
Come with me.,haa du hanana
Come with us.,ning du hanana
Count to ten.,halung tapi chei na
Cut that out,achiwe neya lya kuna
Describe Tom.,tom ba hadina
Did Tom come?,tom hanaya ye?
Did Tom fall?,tom hawriya ye?
Did Tom help?,tom babrung ya ye?
Did Tom know?,tom kasa ye?
Did Tom mind?,tom prayum weya ye?
Did Tom pray?,tom khanyum la ye?
Did Tom sing?,tom tasheya ye?
Did Tom stay?,tom ea ye?
Did Tom swim?,tom machae yoya ye?
Did Tom vote?,tom vote teya ye?
Did you call?,nyu ameya ye?
Did you sign?,nyu sign jiya ye?
Did you vote?,nyu vote teya ye?
Do I look OK?,haa whi pra ye?
Do it anyway.,kade ki gumu dina
Do it for me.,haa ba ji hungna
Do they know?,chanung kasaga ye?
Do you agree?,nyu dyung di ye?
Do you drink?,nyu tyumdi ye?
Do you smoke?,nyu sigari dudi ye?
Do your best.,nyu hanega pra jina
Does it hurt?,awe nya ye?
Does it show?,awe ake ye?
Does it work?,kam jiya ye?
Don't ask me.,haa ahu ya
Don't be sad.,prayum we ya
Don't be shy.,halaue ye
Don't forget.,wesa ya
Don't get up.,dyuu ya
Don't go yet.,tya boya
Don't let go.,tya boshue ya
Don't scream.,gra ya
Drive faster.,tagroo khena
Drive safely.,pra khena
Drive slowly.,habe khena
Drop the gun.,geharue bari ji na
Examine this.,awe pra whina
"Fish, please.",taa ing
Food is food.,tape we tape
Get my rifle.,haa geharue shijana
Get the book.,tako shijana
Ghosts exist.,khanyum ea
Give it back.,halyanana
Give me half.,tige haa hungna
Give me that.,achiwe haa hungna
Go to school.,school bona
Good evening.,talyung pra
Good for you.,nyu ba pra
Grab my hand.,haa atyu rona
"Grow up, Tom.","tom, nyu tajai shana"
Hand it over.,awe hungna na
Has Tom come?,tom hanaya ye?
Has Tom gone?,tom bona ye?
Have a drink.,ing tyumna 
Have another.,pii shina
Have courage.,rai yaa
He avoids me.,muwa aa cha haa halityu
He could die.,muwa aa cha sheiboya
He denied it.,muwa aa cha jiyum la
He dumped me.,muwa aa cha haa maraa kuya
He got angry.,muwa aa cha khamyu hoya
He had a dog.,muwa aa cha kwau mehoya
He has a car.,muwa aa cha garae ahaa
He has money.,muwa aa cha pisha aha
He is a poet.,muwa aa cha tashe jua
He is asleep.,muwa aa cha inghoya
He is eating.,muwa aa cha tha
He just left.,muwa aa cha tyahi boya
He kicked it.,muwa aa cha gadhyung kuya
He let us go.,muwa aa cha ning boshue ya
He loves her.,muwa aa cha miya aa pra we
He needs you.,muwa aa cha nyu dhue a
He runs fast.,muwa aa cha tagroo chow a
He seems ill.,muwa aa naraa
He was alone.,muwa aa cha pa
He was brave.,muwa aa raityu yum
He was wrong.,muwa aa cha galti jia
He was young.,muwa aa cha shabre aa
He will come.,muwa aa cha hanabiya
He will wait.,muwa aa cha kalyu biya
He will walk.,muwa aa cha chei biya
He's dieting.,muwa aa cha tape pra thayum
He's in pain.,muwa aa cha tyung nyaa la
He's too old.,muwa aa cha tyung tapauhoya
"Hello, girls.",miya aa lai
Help Tom out.,tom habrung ringna
Here you are.,nyu a eidi ye
"Hey, wait up.","alai, kalyuna"
How arrogant!,kadedhue takhu
How barbaric!,kadedhue khanyum
How dare you!,kade nyu wali jidi
How pathetic!,kade dyue dyuka naka
How touching!,kade dyue pra ha
I admire Tom.,haa tom pra ladi
I admire you.,haa nyu pra ladi
I almost won.,haa hane tyubo
I always win.,haa kadigumu hanedi
I am Chinese.,haa china mei
I am ashamed.,haa halaue shia
I am at home.,haa ang ke edi
I am curious.,haa kasamyu a
I am injured.,haa awe jia
I am married.,haa aa maa
I am praying.,haa khanyum ladi
I ate apples.,haa apple thadi
I ate caviar.,haa caviar thadi
I bit my lip.,haa thanu krungha ku
I broke that.,haa hadyu dyabo
I called Tom.,haa tom amedi
I called him.,haa muwa aa cha amedyabo
I can manage.,haa hi jityune
I can try it.,haa ji hawrekune
I can't draw.,haa juu haneyum
I can't help.,haa babrung haneyum
I can't move.,haa apii haneyum
I can't read.,haa puri haneyum
I can't sing.,haa tashe haneyum
I can't stay.,haa ehaneyum
I can't swim.,haa machei yo haneyum
I can't talk.,haa maro haneyum
I can't wait.,haa kalyu haneyum
I can't walk.,haa chei haneyum
"I cried, too.",haa mu khrodyabo
I cut myself.,haa ga hi netyu dyabo
I deserve it.,haa chungya sha
I didn't lie.,haa lahalue yum
I didn't pay.,haa pisha hang yum
I didn't win.,haa haneyum
I do hope so.,haa tawe wehadi
I do my best.,haa hanege pra jidi
I do want it.,haa dhue ha ki
I don't care.,haa jamu wedyum
I don't know.,haa kasadyum
I don't mind.,haa prayum wedyum
I don't read.,haa puri dyum
I don't sing.,haa tashe dyum
I drank milk.,haa gungki tyum dyabo
I drink milk.,haa gungki tyum di
I eat cheese.,haa cheese thadi
I enjoy life.,haa asing halyoya edi
I feel alive.,haa asung wetyu di
I feel dizzy.,haa ayei a
I feel great.,haa tyung darang wetyudi
I feel happy.,haa halyoshia 
I felt naked.,haa thow kow
I found them.,haa chanung chung dyabo
I go jogging.,haa chowya bodi
I go to work.,haa kampa bodi
I had doubts.,haa tawe kya wedi
I hate liars.,haa lahalue ya mei prayum
I hate sushi.,haa sushi pre weshiyum wedi
I hate those.,haa chanung prayum wedi
I have a car.,haa garei aa ha
I have a dog.,haa du kwaue wa
I have a pen.,haa du kolom aa ha
I have money.,haa pisha aa ha
I have to go.,haa boya sha
I hear music.,haa tashe tharungdi
I hugged Tom.,haa tom gwei dyabo
I hugged her.,haa miya aa cha gwei dyabo
I keep a dog.,haa kwaue sodi
I let him go.,haa cha boshue dyabo
I like bread.,haa powroti pra wedi
I like fruits.,haa masung shei pra wedi
I like girls.,haa miya aa nung pra wedi
I like pizza.,haa pizza thaya pra wedi
I like sugar.,haa shuning thaya pra wedi
I like sushi.,haa sushi thaya pra wedi
I like these.,haa awenung pra wedi
I like women.,haa tapau miya aa pra wedi
I live alone.,haa pa edi
I lost a bet.,haa takaue haneyum
I love books.,haa tako puriya pra wedi
I love games.,haa khiliya pra wedi
I love jokes.,haa ruu mara jiya pra wedi
I love money.,haa pisha pra wedi
I love pigs.,haa balei pra wedi
I love trips.,haa hanu ladu boya pra wedi
I loved that.,haa achiwe pra hadi
I made it up.,haa jidyabo
I made these.,haa awenung badyabo
I missed you.,haa nyu wetyung ha
I must hurry.,haa matyu hadi
I must study.,haa tako puriya dhue a
I need a cab.,haa garai bhara dhue a
I need a hug.,haa ing gwihana
I need a job.,haa kam lam dhue a
I need money.,haa pisha dhue a
I need sleep.,haa ing myu ha
I need water.,haa machae dhue ha
I often read.,haa bhue-bhue tyo tako puridi
I phoned him.,haa maroga dyabo
I read a lot.,haa tako tyung puridi
I see a book.,haa tako whidi
I see a lion.,haa tamya whidi
I see a star.,haa kading whidi
I suppose so.,haa wemakow di
I swim a lot.,haa machae tyung yodi
I sympathize.,haa kashaing hadi
I talk a lot.,haa tyung marodi
I thought so.,haa wali wedyabo
I tried hard.,haa pree jiha dyabo
I understand.,haa kasadi
I want a dog.,haa kwaue dhue a
I want a hat.,haa kuru tyue ya dhue ha
I want a lot.,haa tyung due dhue ha
I want facts.,haa takaue jum kasa dhue ha
I want money.,haa pisha dhue a
I want proof.,haa kasaya dhue a
I want these.,haa awe dhue a
I want to go.,haa bo myu a
I was a fool.,haa hayu kapa ki
I was hungry.,haa shityu ki
I was scared.,haa raishia ki
I was shaken.,haa hrrue ku dyabo
I was sleepy.,haa ing chuma ki
I went there.,haa achi khige ki
I will fight.,haa hadu gane
I will learn.,haa kasa ne
I won't come.,haa hanayum
I won't fail.,haa hanebiya
I won't lose,haa hamayum
I wonder why.,jaa kanum laa 
I work a lot.,haa kam dhue jidi
I'll ask Tom.,haa tom ahoone
I'll ask him.,haa muwa aa cha ahoone
I'll be back.,haa hana lyanane
I'll be fine.,haa pra shanabiya
I'll be free.,haa pooraa shabiya
I'll be good.,haa pra shabiya
I'll be here.,haa ake hanane
I'll be late.,haa raa goo hanane
I'll be nice.,haa pra shabiya
I'll come by.,haa lyanane
I'll do that.,haa wali jine
I'll do this.,haa ali jine
I'll explain.,haa atyane
I'll get Tom.,haa tom katyow ne
I'll get one.,haa brage shigene
I'll get you.,haa nyu chung biya
I'll go home.,haa ang bone
I'll go look.,haa boya whii ne
I'll pay you.,haa nyu pisha hung ne
I'll read it.,haa awe purine
I'll see Tom.,haa tom whii ne
I'll take it.,haa awe shine
I'm 99% sure.,haa 99% wekasadi
I'm Canadian.,haa canda mie 
I'm a coward.,haa tyung raetyudi
I'm a doctor.,doctor haa
I'm a father.,baa haa
I'm a friend.,atamru haa
I'm a genius.,haa panyum dhue a
I'm a lawyer.,lawyer haa
I'm bluffing.,haa mei kapa badi
I'm busy now.,haa tyung kam a
I'm divorced.,haa maara kuya
I'm doing OK.,haa pramadung edi
I'm drowning.,haa machae row a
I'm eighteen.,haa kanung halaue lyum
I'm escaping.,haa leakau di
I'm expected.,haa aa chung tyubo
I'm fighting.,haa hadu di
I'm finished.,haa dung kuya
I'm freezing.,haa juu lei
I'm homeless.,haa ang haa aa eidi
I'm innocent.,haa jamu kasadyum
I'm like Tom.,haa tom dyue ge
I'm no rebel.,haa hadu da dyum
I'm no saint.,sadhu haa yum
I'm not busy.,haa ja kam kho aayum
I'm not dead.,haa sheiyum
I'm not deaf.,haa kru kapa yum
I'm not evil.,haa prayum mei yum
I'm not here.,haa ake idyum
I'm not home.,haa angke idyum
I'm not rich.,haa dyayum
I'm not sick.,haa naara yum
I'm not well.,haa naara
I'm off beer.,haa yuu tyumdyum
I'm out here.,haa a habung edi
I'm positive.,haa jum ladi
I'm reliable.,haa takaudyung pina
I'm shooting.,haa oo di
I'm sleeping.,haa ing di
I'm so happy.,haa tyung halyoshia
I'm so tired!,haa whayum jia
I'm speaking.,haa marodi
I'm standing.,haa dedi
I'm starving!,haa shityu eidi
I'm studying.,haa tako puridi
I'm the best.,haa shami du pra
I'm to blame.,haa kanum shaya
I'm upstairs.,haa phrutyu taji eidi
I'm very fat.,haa tyung mei darung
I'm very sad.,haa tyung prayum weshi
I'm very shy.,haa tyung halaue shia
I'm watching.,haa whidi
I'm with him.,haa chadu eidi
I'm your age.,haa nyu dyu dyuege
I've changed.,haa pi halyunaya
I've checked.,haa whi dyabo
I've lost it.,haa hamakuya
Ice is solid.,awrai phlaa dyuege
Iron is hard.,sai tyung mathung
Is Tom alive?,tom asung ea ye?
Is Tom alone?,tom cha pa ea ye?
Is Tom awake?,tom jihue ho ye?
Is Tom crazy?,tom tami ye?
Is Tom drunk?,tom yuu yumho ye?
Is Tom dying?,tom sheia ye?
Is Tom happy?,tom halyoho ye?
Is Tom lying?,tom lahalue ye?
Is Tom ready?,tom botyuya ye?
Is Tom right?,tom jum takaue la ye?
Is Tom there?,tom achi ea ye?
Is it a deer?,awe majum ye?
Is it a fox?,awe mabow ye?
Is it broken?,awe dyukuho ye?
Is it for me?,awe haa ba ye?
Is that blue?,awe ming a ye?
Is that mine?,awe haa ba ye?
Is that salt?,awe pla ye?
Is that true?,awe jum ye?
Is this mine?,awe haa ba ye?
Is this real?,awe jum ye?
Is this true?,achiwe jum ye?
Is this wine?,awe yuu ye?
It has begun.,awe sha tyubo
It is a book.,awe tako 
It isn't Tom.,awe tom yum
It isn't new.,awe mei yum
It may break.,awe dyu biya
It scares me.,awe haa mahrrae ya
It was Tom's.,awe tom ba ki
It was a bet.,awe la dagaya ki
It was black.,awe maaki
It was empty.,awe dung hoyaki
It was night.,awe yaa ki
It was white.,awe lyo ki
It works now.,awe tya kam jiya
It'll be hot.,abe kaibiya
It'll happen.,awe shabiya 
It's a fruit.,awe jum tkue 
It's a plant.,awe sung
It's at home.,awe ang ke ea
It's bedtime.,awe tachung langya sha
It's correct.,awe che
It's for Tom.,awe tom ba  
It's for you.,awe nyu ba
It's morning.,anaya sha
It's my book.,awe haa tako
It's my life.,awe haa asing
It's no good.,awe prayum
It's no joke.,roo marayum
It's not Tom.,awe tom yum
It's not new.,awe mii yum
It's only me.,awe haa gaa kapa
It's our car.,awe ning garei
It's perfect.,awe tyung che
It's raining.,tya karazha
It's snowing.,tya awrei lya
It's strange.,awe tyung mei
It's too big.,awe darung blii
It's too hot.,awe kaeblii
It's too low.,awe bariblii
It's unusual.,awe wali kapayum
It's useless.,awe kamhaa aa
It's working.,awe kam jiya
Jump over it.,awe kyaa duna
Just get out.,tya habung bona
Just go away.,tya dya bona
Keep driving.,khe lana
Keep it warm.,lungaa sona
Keep looking.,whii lana
Keep reading.,puri lana
Keep running.,chow lana
Keep singing.,tashe lana
Keep talking.,maro lana
Keep walking.,chei lana
Keep working.,babrung lana
Keep writing.,zuu lana
Ladies first.,miya aa hayu
Lead the way.,alyum akena
Let Tom come.,tom hana shuena
Let Tom know.,tom kasa ingke
Let Tom live.,tom ei ingke
Let Tom sing.,tom tashe ingke
Let Tom stay.,tom ei ingke
Let go of me!,haa bo shuena
Let me do it.,haa ji hawre ne
Let me dream.,haa yamu ne
Let me leave!,haa bohane
Let me think.,haa taweke wene
Let's go now.,ning tya boke
Let's see it.,ning awe whii ke
Let's try it.,ning awe ji hwre ke
Life's short.,asing katyu
Listen to me.,haa takue tharung na
Look at that.,achiwe whii na
Look at this.,awe whii na
Look closely.,gaa whii na
Make it stop.,awe katyow na
Mary came in.,mary lumkoo hanaya
Mary giggled.,mary maara 
Mary is cute.,mary kasheing shiya
Mary is mine.,mary haa ba
Mary is tall.,mary kalung
Math is hard.,math haneyum
May I come in?,haa lumkoo hana hanebiya ye?
May I go now?,haa tya bohane biya ye?
May I try it?,haa jihwre ne
"Meat, please.",tabre ing
Men are pigs.,mei we balai
Move quietly.,misha hagawna
Must I hurry?,haa bo tagrooya
My back hurts.,haa haroo nya
My eyes hurt.,haa balum nya
My feet hurt.,haa grutyo nya
My hip hurts.,haa sapum nya
My ear hurts.,haa kruna chaa
No one cared.,shamu jamu wehoyum
No one cares.,shamu jamu weyum
No one knows.,shamu kasayum
Nobody asked.,shamu ahooyum
Nobody slept.,shamu ingyum
Now I get it.,tya haa wekasa dyabo
"Oh, be quiet.","oh, misha ena"
Pick that up.,achiwe katuna
Please do it.,ing ji hungna
Please hurry!,ing tagroo jina
Please relax.,ing aramjina
Please smile.,ing maarana
Pull it open.,maguya pona
Put it there.,achike sona
Say it again.,bhuedu lana
School's out.,school bunhoya
See you then.,abe tarugaki
Set Tom free.,tom matyana
Shame on you.,nyu halaue
She can swim.,miya aa cha machei yo hane
She helps us.,miya aa cha ning babrung a
She is a fox.,miya aa cha tawe khanyum
She is eight.,miya aa cha kanung lyum shaho
She is happy.,miya aa cha halyo hoya
She is lucky.,miya aa cha tyung kopatpra 
She is quiet.,miya aa cha misha 
She is upset.,miya aa cha khudyow hoya
She is wrong.,miya aa cha che jiyum
She is young.,miya aa cha ayanrow
She knows me.,miya aa cha haa kasa
She loves us.,miya aa cha ning pra wei
She needs it.,miya aa cha dhue hoya
She shot him.,miya aa cha muwa aa oo kuhoya
She stood up.,miya aa cha de kuya
She went out.,miya aa cha habung bo bo
Should we go?,ning boya nyu kya?
Show me that.,achiwe haa akena
Speak louder.,mathung marona
Speak slower.,habe marona
Speak softly.,nyum uma marona
Stay a while.,chauge kalyuna
Stay at home.,ang edyabo na
Stay with me.,hadu ena
Stay with us.,ningdu ena
Step forward.,gruu haya jina
Stop filming.,tyoma ya
Stop humming.,rungma ya
"Stop it, Tom.","tom, jiya"
Stop reading.,puri ya
Stop singing.,tashe ya
Stop smoking.,duu ya
Stop staring.,whityo ya
Sweet dreams!,pra yamuna
Take a break.,chuge kalyuna
Take it away.,awe shibona
Take it down.,awe barishibona
Take it home.,ang shibona
Take me home.,haa ang katyow na
Take my coat.,haa ting kana shina
Take us home.,ning ang katyow na
Tell Tom why.,jashaya tom atyana
Tell me more.,haa ingdu atyana
Thanks again.,bhuedu khodemu
That does it.,awe wali jia
That was Tom.,achiwe tom
That was bad.,achiwe prayum
That was fun.,achiwe halyoshia
That will do.,awe shabiya 
That'll help.,achiwe babrung biya
That'll pass.,achiwe bobiya
That's Tom's.,achiwe tom ba
That's a lie.,achiwe lahalue
That's a lot!,achiwe tyung due
That's cruel.,achiwe khanyum tawe
That's funny.,achiwe ruu maraa
That's my CD.,achiwe haa CD
That's right.,achiwe jum la
That's weird.,achiwe pita mei
There's more.,achiwe dhue kapa
They approve.,achiwe mi dyung ga
They are big.,chanung mei darung
They came in.,chanung lumkoo hanaring ya
They cheered.,chanung atyoka tabyei a
They escaped.,chanung likuya
They gave up.,chanung maraa kooya
They hate us.,chanung ning prayum wei
They knew me.,chanung haa kasaga
They know me.,chanung haa kasa 
They laughed.,chanung maara ga
They love it.,chanung pra wei ga
They love me.,chanung haa pra wei ga
They love us.,chanung ning pra wei ga
They refused.,chanung dyung ga yum
They relaxed.,chanung aramjiga
They said no.,chanung sham laga
They saw Tom.,chanung tom whii tyung ya
They saw you.,chanung nyu whii tyung ya
They stopped.,chanung kalyuhoya
They want me.,chanung haa dhue a
They'll come.,chanung hanabiya
They'll fail.,chanung hanebiyam
They'll grow.,chanung asang biya
They'll know.,chanung kasabiya
They're back.,chanung lyanaya
They're blue.,chanung ming a
They're boys.,chanung muwa aa
They're feeling cold.,chanung zuu a
They're fast.,chanung tyung tagroo
They're fine.,chanung pra iga
They're free.,chanung pooraa
They're gone.,chanung boliya
They're good.,chanung pra
They're home.,chanung ang hanahoya
They're kids.,chanung aa tawe
They're lost.,chanung kama kuya
They're mine.,chanung haa ba
They're rich.,chanung dyaa
They're ugly.,chanung mei prayum
They've gone.,chanung boliya
Things break.,awe nung dyu a
This is easy.,awe tyung hane
This is fine.,awe khubiya
This is food.,awe tape
This is gold.,awe badai
This is hers.,awe miya aa cha ba
This is just.,awe jamu yum
This is life!,awe asing
This is ours.,awe ningba
This is sick.,awe naara
This is true.,awe jyum taku
This is ugly.,awe whii ya ayum
This'll help.,awe habrung biya
This'll work.,awe babrung biya
This'll work.,awe kam jiya
Tom answered.,tom maro da
Tom approved.,tom dhyung a
Tom approves.,tom dhyung biya
Tom writes,tom jua
Tom bit Mary.,tom mary we whau hoya
Tom broke in.,tom hadyu hoya
Tom broke it.,tom hadyu a
Tom built it.,tom tarue hoya
Tom can come.,tom hana hane
Tom can cook.,tom tape haya kasa
Tom can help.,tom babrung hane
Tom can read.,tom tako puri hane
Tom can swim.,tom machae row hane
Tom can talk.,tom maro hane
Tom can walk.,tom chae hane
Tom canceled.,tom jiyam laha
Tom did that.,tom ali jiya
Tom did this.,tom awe jiya
Tom did well.,tom pra jiya
Tom felt sad.,tom prayum we
Tom found it.,tom chung ya
Tom got an A.,tom A chungya
Tom got away.,tom hali tyuya
Tom got home.,tom ang khiya
Tom got hurt.,tom awa shaho
Tom got lost.,tom hamakuya
Tom got paid.,tom pisha chungya
Tom got shot.,tom o kuya
Tom got sick.,tom naara kuya
Tom grumbled.,tom maroda
Tom has come.,tom hanaya
Tom has died.,tom sheikuya
Tom has guts.,tom raityu kasayum
Tom has left.,tom bokuya
Tom hated it.,tom awe kapaue a
Tom hates it.,tom awe tyung kapaue 
Tom helps us.,tom ning babrung a
Tom insisted.,tom jiki la
Tom is a spy.,tom tharung akowya mei
Tom is angry.,tom khamyu hoya
Tom is blind.,tom balum ma
Tom is bored.,tom whahoyum
Tom is broke.,tom tawe prayum weho
Tom is cruel.,tom tyung khanyum
Tom is drunk.,tom yuu yumhoya
Tom is dying.,tom shei a
Tom is early.,tom tagroo khiya
Tom is frank.,tom halaue kasayum
Tom is going.,tom bo a
Tom is great.,tom tyung darung mei
Tom is happy.,tom halyo a
Tom is heavy.,tom ase
Tom is loyal.,tom mei kapa bayum
Tom is lying.,tom lahalue a
Tom is messy.,tom lya pharea
Tom is moody.,tom khudyow kasa
Tom is my ex.,tom haa marahoya
Tom is naked.,tom thow kow
Tom is needy.,tom dyayum
Tom is obese.,tom mei darung balli
Tom is quiet.,tom misha ea
Tom is ready.,tom botyubo
Tom is right.,tom che la
Tom is scary.,tom we raishia
Tom is sharp.,tom tawe tajue
Tom is short.,tom  we katyu
Tom is small.,tom a ea
Tom is smart.,tom tyung khrae
Tom is sweet.,tom show a maro
Tom is there.,tom achi ea
Tom is upset.,tom khudyow hoya
Tom is white.,tom mei lyo
Tom is wrong.,tom che jiyum
Tom is young.,tom shabre ea
Tom isn't OK.,tom prayum
Tom isn't in.,tom angke hanayum
Tom just ate.,tom tyahi thaya
Tom just won.,tom haneya
Tom knows it.,tom kasa
Tom knows me.,tom haa kasa
Tom knows us.,tom ning kasa
Tom liked it.,tom pra we ki
Tom likes it.,tom pra we  
Tom likes me.,tom haa pra we
Tom looks OK.,tom kho pra ea
Tom loved it.,tom awe pra we
Tom loved us.,tom ning me pra we ki
Tom loves it.,tom awe pra we
Tom loves me.,tom haa pra we
Tom loves us.,tom ning pra we
Tom may come.,tom hana hane
Tom may sing.,tom tashe hane
Tom may stay.,tom ehane
Tom meant it.,tom wali laha ki
Tom met Mary.,tom mary tarugaya
Tom might go.,tom bobiya
Tom needs it.,tom awe dhue biya
Tom needs us.,tom ning dhue a
Tom objected.,tom ji shue yum
Tom panicked.,tom hrue kuya
Tom promised.,tom jihung ne la
Tom ran away.,tom chow ku bo
Tom ran home.,tom ang chow bo
Tom relented.,tom mara kuya
Tom resigned.,tom maraya
Tom said yes.,tom jine la
Tom sat down.,tom bari dia
Tom will sit down.,tom bari dibiya
Tom saw Mary.,tom mary whi a
Tom saw them.,tom chanung whi a
Tom screamed.,tom grache kuya
Tom shivered.,tom julai a
Tom dragged.,tom magu hoya
Tom squinted.,tom balum ching a
Tom stood up.,tom taji dea
Tom scattered.,tom lya pharai hoya
Tom survived.,tom lihoya
Tom told her.,tom miya aa cha atyahoya
Tom told him.,tom mua aa cha atyahoya
Tom took away.,tom shiku bo
Tom vanished.,tom kamaku bo
Tom wants it.,tom dhue la
Tom was standing.,tom dehoya
Tom was dead.,tom shei hoya
Tom was fast.,tom tagru jia
Tom was gone.,tom boliya
Tom was here.,tom ake hanaya
Tom was home.,tom ang hanaya
Tom was hurt.,tom khudyow hoya
Tom was last.,tom shamidu mamyu sha
Tom was late.,tom raa shaya
Tom was mean.,tom gaa pe we
Tom was nosy.,tom mei hera
Tom was rich.,tom tyung dya ki
Tom was shot.,tom okuya
Tom was sick.,tom naara
Tom was slow.,tom tyung habe
Tom went out.,tom habung boku
Tom cried.,tom khroya ki
Tom will cry.,tom khro biya
Tom will try.,tom ji hawrebiya
Tom will win.,tom hanebiya
Tom'll speak.,tom marobiya
Tom's afraid.,tom rai a
Tom's amazed.,tom hrue kuya
Tom's amused.,tom halyo hoya
Tom's asleep.,tom ing hoya
Tom's coming.,Tom hana ha
Tom's crying.,tom khro a
Tom's famous.,tom mei mi kasaga
Tom's filthy.,tom kapue shia
Tom's guilty.,tom we prayum
Tom's insane.,tom tamei a
Tom's joking.,tom amu rua
Tom's lonely.,tom cha pa
Tom's not in.,tom lumku eyum
Tom's scared.,tom rai a
Tom's so old.,tom tyung tapau
Tom's strong.,tom tyung pre a
Tom's thirsty.,tom machai tyum my hoya
Tom's wasted.,tom amu jiya
"Tom, wake up.",tom dyuna
Trust in God.,khanyum takau tharung na
Trust no one.,sha mu dyung ya
Try and sing.,tashe hawrena
Try it again.,buedu ji hawrena
Try the cake.,cake ba hawrena
Try these on.,anung ba hawrena
Try to guess.,we hawrena
Try to smile.,mara hawrena
Unbelievable!,ojum nyukya!
Use them all.,ami ba hawrena
Vote for Tom.,tom vote tena
Wait and see.,kalyuya whena
Wait for Tom.,tom kalyuna
Wake them up.,mei mi majhue na
"Wake up, Tom.",tom majhue na
Was Tom busy?,tom kam a ye?
Was she seen?,cha whityung ye?
We all stood.,ning mei dhue ya
We are two.,ning mei kaing
We are happy.,ning mei halyoshi
We can begin.,ning beudu di hane biya
We can check.,ning whi malaya
We can't win.,ning hane biyum
We found Tom.,ning tom chung biya
We found one.,ning brage chung ya
We got ready.,ning botyuya sha
We had lunch.,ning bhuehing tape thaya
We knew that.,ning achiwe kasadi
We knew this.,ning awe kasadi ki
We know that.,ning achiwe kasadi ki
We know them.,ning chanung we kasadi
We know this.,ning awe kasadi  
We live here.,ning ake eidi
We looked up.,ning taji whiya
We love this.,ning awe pra wedi
We must obey.,ning takau tharung na
We need help.,ning ing brungring na
We need more.,ning ingdu dhue a
We need rain.,ning kaara dhue a
We need them.,ning chanung dhue a
We need this.,ning awe dhuea
We sat there.,ning aehi diya ki
We should go.,ning tya boya sha
We succeeded!,ning haneya
We trust him.,ning cha takue dyung di
We want meat.,ning tabre thaya
We were busy.,ning tyung kam aha
We were sick.,ning naara ki
We'll attack.,ning hadugaya
We'll decide.,ning marogaya
We'll decide.,ning tachigaya
We'll get it.,ning chung bia
We'll go out.,ning habung boya
We'll scream.,ning gradum kuya
We'll starve.,ning shityu eikuya
We're afraid.,ning raishia
We're at war.,ning hadu blum eidi
We're closed.,ning ba dungliya
We're coming.,ning hanadi
We're dating.,ning rugadi
We're hiding.,ning mugadi
We're joking.,ning amu rudii
We're losing.,ning dung gadi
We're paying.,ning pisha hung gadi
Welcome back.,buedu pra hanana
Welcome home.,ang pra hanana
What a shame!,kadedeu halau takaue
What a woman!,tapau miya aa kadedue nyu
What is that?,achiwe ja?
What is this?,awe ja?
What's on TV?,TV ke ja hanaha?
Where are we?,ning hanu eidi?
Where is Tom?,tom hanu eidi?
Who are they?,chanung sha?
Who built it?,awe sha tarue ya?
Who canceled?,sha maraa ya?
Who did this?,sha diya?
Who did what?,sha jaa diya?
Who is there?,achi sha ea?
Who listened?,sha tharung a?
Who panicked?,sha hrrue a?
Who saw what?,sha jaa whtyung ya?
Who sent you?,sha nyu aweheya?
Who survived?,sha liya?
Who told Tom?,tom sha atyaya?
Who vanished?,tom kama kuya?
Who wants it?,sha ha dhue a?
Who was here?,ake sha hanaya?
Who will pay?,sha pisha hung biya?
Who'll drive?,sha khebiya?
Who'll fight?,sha hadu biya?
Who'll start?,sha hanyu jibiya?
Who's coming?,sha hanaha?
Who's joking?,sha ruu a?
Who's paying?,sha hung a?
Why quit now?,tya jadi maraa di?
Why thank me?,haa jadi khodemu ladi?
Will Tom die?,tom sheibiya ye?
Will this do?,awe shabiya ye?
Wish me luck.,haa pra lahung na?
Years passed.,kanung taruna
You amuse me.,nyu haa maara ne
You annoy me.,nyu haa khamyu neya
You are good.,nyu tawe pra mei
You are late.,nyu raa shaya
You are rich.,nyu mathung dya
You are ugly.,nyu whiya aayum
You can come.,nyu hana hane
You can help.,nyu babrung hane
You can rest.,nyu kha pina
You can't go.,nyu bo hanebiyum
You go first.,nyu hayuu bona
You hurt him.,nyu muwa aa whau ya
You know her.,nyu miya aa kasa
You know him.,nyu muwa aa kasa
You know how.,nyu kadenyu kasa
